标题,小区,区域,总价,单价,户型,面积,朝向,装修,楼层,楼层数,建筑
业主诚心出售，产证在手，满五，简装两室,陕西省计量科学研究院家属院 ,城东,45,"8,778",2室1厅,51.27平米,南,简装,高,6,暂无数据
单位家属院，多层2楼，套内净使用面积，看房有钥匙,省工信厅家属院 ,城西,75,"9,792",3室1厅,76.6平米,南 北,其他,低,6,板楼
南二环 太白立交 凯旋城 两室出售 户型方正 改善小区,凯旋城 ,黄雁村,127,"13,543",2室2厅,93.78平米,东南,简装,中,31,板塔结合
地铁口，精装一年小2室，家具家电全配，急售,广济小区 ,城内,64.5,"11,490",2室1厅,56.14平米,东 北,精装,中,7,板塔结合
西工大优质陪读房，户型方正，精装全配,景寓学府东区 ,城西,59.8,"12,474",1室1厅,47.94平米,南,其他,中,34,板塔结合
含光门外 黄雁村地铁口双气小三居南北通透诚心卖,含光路邮电住宅小区 ,黄雁村,57,"8,615",3室1厅,66.17平米,南 北,其他,5,5,暂无数据
兴庆公园旁 电力家属院品质小区 电梯双气 诚心出售,陕西省电力公司柿园坊小区 ,城东,76,"12,151",2室1厅,62.55平米,东,简装,高,23,板塔结合
兴庆公园北门 东方星座 三室 业主诚心出售,东方星座 ,城东,135,"9,574",3室2厅,141.01平米,南 北,其他,中,30,板塔结合
省医院 单位家属院 际华西苑 两室诚售,际华西苑 ,黄雁村,90,"10,692",2室2厅,84.18平米,东 南,精装,低,15,板塔结合
建国路 二六 南北户型 精装 步行上学 配套成熟,23号院 ,城内,66,"11,181",2室1厅,59.03平米,东 南 北,其他,高,7,平房
有钥匙 随时能看 拎包住 有资格,西窑坊小区 ,城东,68,"9,139",2室1厅,74.41平米,东南,简装,中,7,板楼
房子很干净，光线很好，小区一栋楼一个单元3梯9户,西厦大厦 ,城东,99,"8,101",2室2厅,122.21平米,西,简装,中,25,塔楼
此房格局 户型方正、采光充足无遮挡  业主诚心出售,秦埔公寓 ,南稍门,47,"9,010",1室1厅,52.17平米,西 北,精装,高,12,塔楼
长乐公园地铁口 2房1厅 东南 1梯2户 看房方便,德鑫园小区 ,城东,64,"7,742",2室1厅,82.67平米,南 东 东南,简装,高,7,板楼
煤炭设计院，二室双气南北通透，有证可贷款，生活方便,煤炭工业西安设计研究院住宅区 ,城东,65,"7,696",2室2厅,84.46平米,南 北,简装,中,25,板塔结合
二环内地铁口 小高层 低容积 高绿化 诚心出售,新兴新庆坊 ,城东,229,"19,934",3室2厅,114.88平米,南 北,精装,高,18,板塔结合
文昌门外 环城公园旁 精装两室 采光视野无遮挡。,敬业大厦 ,李家村,114,"12,547",2室2厅,90.86平米,南 东北,精装,中,29,塔楼
低楼层 近学笑 近地铁 大社区 精装2室,西窑坊小区 ,城东,75,"11,275",2室1厅,66.52平米,南 北,精装,中,7,板楼
东二环 通化门双地铁口 电力公司家属院 三室中层 南北,陕西省电力公司兴庆路社区 ,城东,81,"10,474",3室1厅,77.34平米,南 北,精装,中,6,板塔结合
东门外 兴庆宫旁 地铁6号线 中间层 产权清晰 急售,卧龙巷小区 ,城东,64,"8,671",2室1厅,73.81平米,东,简装,中,7,板楼
东门口双地铁双公园 交通便利 三室两位 采光无遮挡,东方星苑 ,城东,126,"10,510",3室1厅,119.89平米,南 东,其他,中,30,板塔结合
黄雁村十字地铁口双气     两居室诚心卖,含光路邮电住宅小区 ,黄雁村,51,"8,686",2室1厅,58.72平米,南,简装,5,5,暂无数据
测绘西路工行家属院，3室全明好房便宜出售,测绘西路43号工行家属院 ,李家村,75,"7,403",3室1厅,101.32平米,南 北,其他,中,6,暂无数据
文艺路地铁口 金色城市 2室1厅 电梯房 看房有钥匙,金色城市 ,南稍门,90,"10,892",2室1厅,82.63平米,东,简装,低,31,板塔结合
